freq=960.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 106044792, 5, -176.445145, 810.663025, -162.385361, 1, 0, 0, 0, 4.00
M, 106044792, 6, -152.792709, 811.594299, -163.481613, 1, 0, 0, 0, 4.00
M, 106044792, 7, -129.997452, 811.079285, -167.786316, 1, 0, 0, 0, 3.07
M, 106045833, 0, -313.137787, 818.581726, -181.395584, 1, 0, 0, 0, 3.57
M, 106045833, 1, -240.639404, 810.152649, -166.052658, 1, 0, 0, 0, 4.00
M, 106045833, 2, -316.304230, 816.928284, -223.887039, 1, 0, 0, 0, 4.00
M, 106045833, 3, -211.812866, 810.059448, -161.426468, 1, 0, 0, 0, 4.00
M, 106045833, 4, -268.231110, 816.426758, -175.019287, 1, 0, 0, 0, 3.32
M, 106045833, 5, -176.443954, 810.663147, -162.385101, 1, 0, 0, 0, 4.00
M, 106045833, 6, -152.792419, 811.594177, -163.480545, 1, 0, 0, 0, 4.00
M, 106045833, 7, -129.997009, 811.080872, -167.789444, 1, 0, 0, 0, 4.00
M, 106046875, 0, -313.136993, 818.581177, -181.395218, 1, 0, 0, 0, 4.00
M, 106046875, 1, -240.639694, 810.129639, -166.039719, 1, 0, 0, 0, 3.34
M, 106046875, 2, -316.303131, 816.928833, -223.886505, 1, 0, 0, 0, 4.00
M, 106046875, 3, -211.811081, 810.060364, -161.425079, 1, 0, 0, 0, 4.00
M, 106046875, 4, -268.228851, 816.426270, -175.020599, 1, 0, 0, 0, 4.00
M, 106046875, 5, -176.459488, 810.650696, -162.380234, 1, 0, 0, 0, 3.34
M, 106046875, 6, -152.792084, 811.593994, -163.479492, 1, 0, 0, 0, 4.00
M, 106046875, 7, -129.996445, 811.081970, -167.789093, 1, 0, 0, 0, 4.00
M, 106047917, 0, -313.137482, 818.579773, -181.395721, 1, 0, 0, 0, 4.00
M, 106047917, 1, -240.639999, 810.133789, -166.042465, 1, 0, 0, 0, 4.00
M, 106047917, 2, -316.304504, 816.929565, -223.886322, 1, 0, 0, 0, 3.55
M, 106047917, 3, -211.809296, 810.061340, -161.423767, 1, 0, 0, 0, 4.00
M, 106047917, 4, -268.228851, 816.424744, -175.020111, 1, 0, 0, 0, 4.00
M, 106047917, 5, -176.455521, 810.652832, -162.380753, 1, 0, 0, 0, 4.00
M, 106047917, 6, -152.798889, 811.584351, -163.476608, 1, 0, 0, 0, 3.52
M, 106047917, 7, -129.995911, 811.082947, -167.788712, 1, 0, 0, 0, 4.00
M, 106048958, 0, -313.137909, 818.578552, -181.396240, 1, 0, 0, 0, 4.00
M, 106048958, 1, -240.640350, 810.131348, -166.041489, 1, 0, 0, 0, 4.00
